job_class,sum
集成电路IC设计/应用工程师、电子工程师/技术员,71
硬件工程师通信技术工程师,4
大客户销售销售代表,46
销售代表、技术支持工程师/技术员,3
大客户销售销售工程师,39
普工、操作工,354
工艺工程师/技术员,299
光源与照明工程规划与设计,1
文案/策划,42
客服专员/助理,247
系统集成工程师,21
前台接待,52
销售工程师大客户销售,46
采购助理,98
技术支持工程师/技术员,618
电子工程师/技术员,382
电气工程师/技术员,190
分销经理/主管、分销专员/助理,1
算法工程师,214
销售经理,382
集成电路IC设计/应用工程师,785
家具设计/家居设计,3
销售代表,425
销售工程师销售代表,158
会计,184
工程/机械绘图员,55
版图设计工程师,170
财务专员/助理,82
销售工程师/技术员、技术支持工程师/技术员,3
硬件测试工程师,205
工业工程师,41
维修工程师/技术员、技术支持工程师/技术员,4
生物工程/生物制药,17
嵌入式硬件开发高级硬件工程师,10
销售经理销售代表,35
销售代表销售工程师,139
项目工程师/技术员、项目经理/主管,5
大客户销售销售主管,2
FAE 现场应用工程师,347
销售经理销售总监,13
助理业务跟单业务跟单,3
技术支持工程师/技术员、网络工程师/技术员,3
需求工程师,16
软件工程师/技术员、自动控制工程师/技术员,4
高级硬件工程师硬件工程师,24
汽车电子工程师电子技术研发工程师,3
软件工程师,565
技术支持工程师/技术员、FAE 现场应用工程师/技术员,18
商务专员/助理、客服专员/助理,3
质量管理、测试工程师/技术员,258
半导体技术,402
FAE 现场应用工程师/技术员、技术支持工程师/技术员,54
人事专员,115
硬件测试工程师/技术员、维修工程师/技术员,3
园艺/园林/景观设计、建筑设计师,1
业务跟单销售行政助理,1
多媒体设计平面设计师,1
质检员/测试员,202
物流专员/助理,51
其他,727
销售代表大客户销售,39
电源开发工程师/技术员,56
生产领班/组长,47
销售专员/助理、业务分析专员/助理,4
机械工程师,189
芯片测试工程师半导体测试工程师,26
电子技术研发工程师,131
销售工程师,444
分销专员/助理,22
工艺工程师/技术员、设备工程师/技术员,6
销售行政专员商务助理,6
质量管理、测试经理/主管,152
公路/桥梁/港口/隧道工程、市政工程师/技术员,1
商务司机,47
C/C++开发工程师/技术员,122
底盘工程师算法工程师,1
销售主管销售经理,5
半导体技术IC验证工程师,3
结构工程师机械工程师,31
硬件工程师,303
人事主管,70
市场/营销/拓展经理/主管、市场/营销/拓展经理/主管,6
销售总监销售经理,16
仓库管理员,202
射频工程师,84
技术研发工程师高级软件工程师,1
项目管理,79
项目工程师,33
自动控制工程师/技术员、电子工程师/技术员,2
质量管理、测试经理/主管、质量管理、测试经理/主管、,18
电子工程师/技术员、集成电路IC设计/应用工程师,37
销售行政助理,118
电子工程师/技术员、电子工程师/技术员,100
软件测试工程师,126
采购员,219
销售代表客户代表,45
财务经理/主管、财务经理/主管,2
技工磨工,1
销售代表、业务分析经理/主管,3
销售代表、分销专员/助理,9
工业设计、工程/机械绘图员,2
供应商开发采购主管,3
硬件工程师射频工程师,2
电气工程师/技术员、机电工程师/技术员,14
机修工,14
采购主管半导体技术,1
公关专员,6
财务经理/主管,115
海关事务管理报关与报检,1
设备工程师/技术员、工程设备经理/主管、,6
后勤,25
经理助理、秘书,37
维修工程师/技术员,74
嵌入式软件开发电子技术研发工程师,10
数据库工程师,28
质量管理、测试工程师/技术员、可靠度工程师/技术员,4
技术研发经理/主管,48
结构工程师高级硬件工程师,1
图像算法工程师,39
质量管理、测试工程师/技术员、供应商管理,3
软件工程师/技术员、技术支持工程师/技术员,3
半导体技术半导体工艺工程师,19
IC验证工程师,134
高级软件工程师,189
市场助理,37
软件工程师算法工程师,7
会计会计助理,5
生产计划/物料管理,218
半导体工艺工程师,173
维修工程师/技术员、电子工程师/技术员,17
ERP实施顾问,30
模具工程师结构工程师,2
射频工程师/技术员、维修工程师/技术员,2
维修工程师/技术员、维修工程师/技术员,16
咨询经理系统工程师,1
软件工程师Go开发工程师,2
客户专员/助理,1
销售主管销售主管,1
销售主管销售工程师,5
集成电路IC设计/应用工程师、硬件工程师/技术员,11
出纳员,99
工艺工程师/技术员、产品工程师/技术员,1
半导体工艺工程师半导体技术,19
电子工程师/技术员、硬件测试工程师/技术员,13
生产计划/物料管理、生产文员,14
销售助理,251
销售工程师/技术员、业务分析经理/主管,4
集成电路IC设计/应用工程师、IC验证工程师/技术员,45
采购员采购助理,29
高级硬件工程师,74
销售专员/助理,5
产品经理/主管,227
项目管理项目经理,4
嵌入式软件开发电子软件开发,69
硬件工程师高级硬件工程师,54
电子工程师/技术员、电气工程师/技术员,16
技术支持工程师/技术员、销售工程师/技术员,3
培训产品开发课程顾问,2
SMT工程师,8
电话销售,36
外贸专员/助理,69
销售工程师国内贸易人员,1
设备工程师/技术员,135
功能测试,17
商务助理,86
软件工程师/技术员、集成电路IC设计/应用工程师,9
电子工程师/技术员、电源开发工程师/技术员,15
工艺工程师/技术员、技术研发工程师/技术员,3
储备干部,19
电子工程师/技术员、维修工程师/技术员,17
电气工程师/技术员、电子工程师/技术员,18
技术支持工程师/技术员、维修工程师/技术员,8
集成电路IC设计/应用工程师、模拟芯片工程师/技术员,37
市场/营销/拓展经理/主管,116
行政专员/助理、经理助理、秘书,4
工程/机械绘图员、工业设计,4
集成电路IC设计/应用工程师、FAE 现场应用工程师/技术员,14
技工,114
大客户销售客户代表,10
销售经理大客户销售,19
销售经理销售主管,36
销售主管,51
销售经理/主管,30
商务经理/主管、商务专员/助理,5
IC验证工程师/技术员、集成电路IC设计/应用工程师,11
结构工程师,118
