job_class,sum
集成电路IC设计/应用工程师,1278
电子工程师/技术员,1361
硬件工程师/技术员,722
通信技术工程师/技术员,131
大客户销售,413
销售代表,1141
技术支持工程师/技术员,886
销售工程师/技术员,1083
普工,592
操作工,424
工艺工程师/技术员,761
光源与照明工程,42
规划与设计,12
文案/策划,58
客服专员/助理,360
系统工程师/技术员,311
前台接待,97
采购员/助理,504
电气工程师/技术员,326
分销经理/主管,88
分销专员/助理,62
算法工程师/技术员,294
销售经理/主管,877
家具设计/家居设计,3
财务专员/助理,401
工程/机械绘图员,103
版图设计工程师/技术员,272
硬件测试工程师/技术员,364
工业工程师/技术员,62
维修工程师/技术员,295
生物工程/生物制药,23
嵌入式硬件开发,205
项目工程师/技术员,64
项目经理/主管,457
FAE 现场应用工程师/技术员,564
销售总监,137
业务跟单,78
网络工程师/技术员,100
需求工程师/技术员,25
软件工程师/技术员,1357
自动控制工程师/技术员,126
商务专员/助理,210
质量管理,649
测试工程师/技术员,1034
芯片架构工程师/技术员,451
人事专员/助理,411
园艺/园林/景观设计,4
建筑设计师,7
销售专员/助理,667
平面设计师,72
质检员/测试员,284
物流专员/助理,68
其他,749
电源开发工程师/技术员,85
生产领班/组长,76
业务分析专员/助理,28
机械工程师/技术员,357
芯片测试工程师/技术员,133
设备工程师/技术员,443
测试经理/主管,291
公路/桥梁/港口/隧道工程,2
市政工程师/技术员,2
司机,67
C/C++开发工程师/技术员,224
底盘工程师/技术员,2
IC验证工程师/技术员,241
结构工程师/技术员,259
人事经理/主管,227
市场/营销/拓展经理/主管,207
仓库管理员,294
射频工程师/技术员,157
技术研发工程师/技术员,233
,122
财务经理/主管,208
磨工,10
业务分析经理/主管,131
工业设计,74
供应商管理,158
采购经理/主管,183
机电工程师/技术员,102
机修工,27
公关专员/助理,11
海关事务管理,6
报关与报检,20
工程设备经理/主管,68
后勤,45
经理助理,58
秘书,59
嵌入式软件开发,773
数据库工程师/技术员,38
可靠度工程师/技术员,39
技术研发经理/主管,74
图像处理工程师/技术员,101
市场专员/助理,72
生产计划/物料管理,291
ERP实施顾问,69
模具工程师/技术员,39
咨询经理,7
Go开发工程师/技术员,12
客户专员/助理,5
出纳员,133
产品工程师/技术员,31
生产文员,86
产品经理/主管,419
电子软件开发,304
培训专员/助理,45
SMT工程师/技术员,8
电话销售,62
外贸专员/助理,125
国内贸易人员,7
储备干部,30
模拟芯片工程师/技术员,71
行政专员/助理,310
商务经理/主管,119
技术文员/助理,69
图书管理员/资料管理员,3
营运经理,1
法务经理/主管,82
激光/光电子技术,110
仓库经理/主管,45
移动开发工程师/技术员,32
活动策划,21
文员,108
