job_class,sum
集成电路IC设计/应用工程师电路工程师/技术员(模拟/数字),41
硬件工程师通信技术工程师,4
大客户销售销售代表,46
销售代表技术支持/维护工程师,1
大客户销售销售工程师,39
普工/操作工,308
产品工艺/制程工程师,247
光源与照明工程规划与设计,1
文案/策划,34
客服专员/助理,144
系统集成工程师,21
前台接待/总机/接待生,50
销售工程师大客户销售,46
采购助理,98
售前/售后技术支持工程师,306
电子工程师/技术员,238
电气工程师/技术员,177
渠道/分销主管渠道/分销专员,1
算法工程师,214
销售经理,382
集成电路IC设计/应用工程师,717
家具设计/家居设计,3
销售代表,424
销售工程师销售代表,158
会计,184
工程/机械绘图员,50
版图设计工程师,170
集成电路IC设计/应用工程师半导体技术,48
电路工程师/技术员(模拟/数字),82
财务助理/财务文员,70
销售工程师售前/售后技术支持工程师,3
硬件测试工程师,205
工业工程师,41
维修工程师技术支持/维护工程师,1
生物工程/生物制药,14
嵌入式硬件开发(主板机…)高级硬件工程师,10
销售经理销售代表,35
销售代表销售工程师,139
项目工程师项目经理/主管,5
大客户销售销售主管,2
FAE 现场应用工程师,347
销售经理销售总监,13
助理业务跟单业务跟单,3
技术支持/维护工程师网络工程师(IT工程师),3
需求工程师,16
软件工程师自动控制工程师/技术员,4
高级硬件工程师硬件工程师,24
汽车电子工程师电子技术研发工程师,3
软件工程师,565
售前/售后技术支持工程师FAE 现场应用工程师,15
商务助理客服专员/助理,3
质量管理/测试工程师(QA/QC工程师),248
半导体技术,402
FAE 现场应用工程师售前/售后技术支持工程师,35
人事专员,115
硬件测试工程师电子/电器维修工程师/技师,3
园艺/园林/景观设计建筑设计师,1
业务跟单销售行政助理,1
多媒体设计平面设计师,1
其他质检员/测试员(QC),1
物流专员/助理,51
其他,727
销售代表大客户销售,39
电池/电源开发电子技术研发工程师,5
生产领班/组长,47
销售助理业务分析专员/助理,3
机械工程师,189
芯片测试工程师半导体测试工程师,26
电子技术研发工程师,131
销售工程师,444
渠道/分销专员,21
产品工艺/制程工程师工程/设备工程师,5
销售行政专员商务助理,6
技术支持/维护工程师,141
质量管理/测试主管(QA/QC主管),66
公路/桥梁/港口/隧道工程市政工程师,1
商务司机,47
C/C++开发工程师,121
底盘工程师算法工程师,1
销售主管销售经理,5
半导体技术IC验证工程师,3
结构工程师机械工程师,31
硬件工程师,303
人事主管,70
市场/营销/拓展经理市场/营销/拓展主管,4
销售总监销售经理,16
仓库管理员,202
质检员/测试员(QC),196
射频工程师,84
技术研发工程师高级软件工程师,1
项目管理,79
技术支持/维护工程师FAE 现场应用工程师,3
项目工程师,33
自动控制工程师/技术员电子工程师/技术员,1
质量管理/测试主管(QA/QC主管)质量管理/测试经理(QA/QC经理),7
电路工程师/技术员(模拟/数字)集成电路IC设计/应用工程师,20
销售行政助理,118
电子技术研发工程师电子工程师/技术员,25
软件测试工程师,126
采购员,219
销售代表客户代表,45
财务主管/总账主管财务经理,2
技工磨工,1
销售代表业务拓展主管/经理,2
销售代表渠道/分销专员,9
工业设计/产品设计工程/机械绘图员,2
供应商开发采购主管,3
硬件工程师射频工程师,2
电气工程师/技术员机电工程师,14
机修工,14
采购主管半导体技术,1
公关专员,6
会计财务主管/总账主管,4
海关事务管理报关与报检,1
工程/设备工程师工程/设备主管,5
后勤,22
经理助理/秘书,37
电子/电器维修工程师/技师,61
嵌入式软件开发(Linux/单片机/PLC/DSP…)电子技术研发工程师,10
数据库工程师(DBA),24
质量管理/测试工程师(QA/QC工程师)可靠度工程师,4
技术研发经理/主管总监/部门经理,1
结构工程师高级硬件工程师,1
图像算法工程师,39
质量管理/测试工程师(QA/QC工程师)供应商管理,3
软件工程师技术支持/维护工程师,1
半导体技术半导体工艺工程师,19
IC验证工程师,134
咨询热线/呼叫中心服务人员客服专员/助理,2
高级软件工程师,189
市场助理,37
软件工程师算法工程师,7
会计会计助理,5
生产计划/物料管理(PMC),214
半导体工艺工程师,173
电子/电器维修工程师/技师电路工程师/技术员(模拟/数字),4
ERP实施顾问,30
模具工程师结构工程师,2
射频工程师电子/电器维修工程师/技师,2
维修工程师电子/电器维修工程师/技师,10
咨询经理系统工程师,1
软件工程师Go开发工程师,2
客户代表大学/大专应届毕业生,1
销售主管销售主管,1
销售主管销售工程师,5
集成电路IC设计/应用工程师高级硬件工程师,6
出纳员,99
产品工艺/制程工程师工业设计/产品设计,1
半导体工艺工程师半导体技术,19
电子工程师/技术员硬件测试工程师,11
生产计划/物料管理(PMC)生产文员,14
销售助理,251
销售工程师业务拓展主管/经理,4
集成电路IC设计/应用工程师IC验证工程师,45
采购员采购助理,29
高级硬件工程师,74
大客户销售渠道/分销专员,5
产品经理/主管产品/品牌经理,2
项目管理项目经理,4
嵌入式软件开发(Linux/单片机/PLC/DSP…)电子软件开发(ARM/MCU...),69
硬件工程师高级硬件工程师,54
电子工程师/技术员电气工程师/技术员,13
售前/售后技术支持工程师销售工程师,2
培训产品开发课程顾问,2
SMT工程师,8
电话销售网络销售/在线销售,10
贸易/外贸专员/助理,65
销售工程师国内贸易人员,1
半导体技术工程/设备工程师,5
功能测试,17
商务助理,86
高级软件工程师集成电路IC设计/应用工程师,2
电子技术研发工程师电池/电源开发,10
产品工艺/制程工程师技术研发工程师,3
储备干部,16
电子工程师/技术员电子/电器维修工程师/技师,11
