job_class,sum
集成电路IC设计/应用工程师电路工程师/技术员,41
销售代表技术支持/维护工程师,1
普工/操作工,308
产品工艺/制程工程师,247
文案/策划,34
客服专员/助理,144
前台接待/总机/接待生,50
售前/售后技术支持工程师,306
电子工程师/技术员,238
电气工程师/技术员,177
渠道/分销主管渠道/分销专员,1
集成电路IC设计/应用工程师,717
家具设计/家居设计,3
工程/机械绘图员,50
集成电路IC设计/应用工程师半导体技术,48
电路工程师/技术员,82
财务助理/财务文员,70
销售工程师售前/售后技术支持工程师,3
维修工程师技术支持/维护工程师,1
生物工程/生物制药,14
项目工程师项目经理/主管,5
技术支持/维护工程师网络工程师,3
软件工程师自动控制工程师/技术员,4
售前/售后技术支持工程师FAE 现场应用工程师,15
商务助理客服专员/助理,3
质量管理/测试工程师,248
FAE 现场应用工程师售前/售后技术支持工程师,35
硬件测试工程师电子/电器维修工程师/技师,3
园艺/园林/景观设计建筑设计师,1
其他质检员/测试员,1
物流专员/助理,51
电池/电源开发电子技术研发工程师,5
生产领班/组长,47
销售助理业务分析专员/助理,3
渠道/分销专员,21
产品工艺/制程工程师工程/设备工程师,5
技术支持/维护工程师,141
质量管理/测试主管,66
公路/桥梁/港口/隧道工程市政工程师,1
C/C++开发工程师,121
市场/营销/拓展经理市场/营销/拓展主管,4
质检员/测试员,196
技术支持/维护工程师FAE 现场应用工程师,3
自动控制工程师/技术员电子工程师/技术员,1
质量管理/测试主管质量管理/测试经理,7
电路工程师/技术员集成电路IC设计/应用工程师,20
电子技术研发工程师电子工程师/技术员,25
财务主管/总账主管财务经理,2
销售代表业务拓展主管/经理,2
销售代表渠道/分销专员,9
工业设计/产品设计工程/机械绘图员,2
电气工程师/技术员机电工程师,14
会计财务主管/总账主管,4
工程/设备工程师工程/设备主管,5
经理助理/秘书,37
电子/电器维修工程师/技师,61
质量管理/测试工程师可靠度工程师,4
技术研发经理/主管总监/部门经理,1
质量管理/测试工程师供应商管理,3
软件工程师技术支持/维护工程师,1
咨询热线/呼叫中心服务人员客服专员/助理,2
生产计划/物料管理,214
电子/电器维修工程师/技师电路工程师/技术员,4
射频工程师电子/电器维修工程师/技师,2
维修工程师电子/电器维修工程师/技师,10
客户代表大学/大专应届毕业生,1
集成电路IC设计/应用工程师高级硬件工程师,6
产品工艺/制程工程师工业设计/产品设计,1
电子工程师/技术员硬件测试工程师,11
生产计划/物料管理生产文员,14
销售工程师业务拓展主管/经理,4
集成电路IC设计/应用工程师IC验证工程师,45
大客户销售渠道/分销专员,5
产品经理/主管产品/品牌经理,2
电子工程师/技术员电气工程师/技术员,13
售前/售后技术支持工程师销售工程师,2
电话销售网络销售/在线销售,10
贸易/外贸专员/助理,65
半导体技术工程/设备工程师,5
高级软件工程师集成电路IC设计/应用工程师,2
电子技术研发工程师电池/电源开发,10
产品工艺/制程工程师技术研发工程师,3
电子工程师/技术员电子/电器维修工程师/技师,11
电气工程师/技术员电路工程师/技术员,5
技术支持/维护工程师电子/电器维修工程师/技师,3
技术支持/维护工程师技术支持/维护经理,6
集成电路IC设计/应用工程师模拟芯片工程师,37
市场/营销/拓展经理,96
行政专员/助理经理助理/秘书,4
工程/机械绘图员工业设计/产品设计,4
集成电路IC设计/应用工程师FAE 现场应用工程师,14
其他质量管理/测试工程师,1
普工/操作工技工,29
销售行政经理/主管,14
商务主管/专员商务助理,5
IC验证工程师集成电路IC设计/应用工程师,11
大客户销售渠道/分销经理,1
半导体工艺工程师产品工艺/制程工程师,17
销售总监业务拓展主管/经理,4
技术文员/助理图书管理员/资料管理员,1
渠道/分销专员销售代表,4
售前/售后技术支持工程师商务助理,1
电路工程师/技术员电子技术研发工程师,10
营运经理生产计划/物料管理,1
激光/光电子技术,55
销售助理客服专员/助理,9
质量管理/测试工程师质检员/测试员,17
半导体技术集成电路IC设计/应用工程师,8
仓库经理/主管仓库管理员,7
电气工程师/技术员软件工程师,4
电气工程师/技术员自动控制工程师/技术员,28
活动策划文案/策划,1
电子工程师/技术员工业工程师,1
客服专员/助理商务助理,6
射频工程师集成电路IC设计/应用工程师,4
电脑操作员/打字员行政专员/助理,1
知识产权/专利/商标,60
售前/售后技术支持工程师售前/售后技术支持主管,13
软件工程师集成电路IC设计/应用工程师,7
招聘专员/助理人事助理,4
售前/售后技术支持工程师光源与照明工程,2
项目执行/协调人员项目管理,3
讲师/助教职业技术教师,1
行政专员/助理后勤,6
算法工程师集成电路IC设计/应用工程师,1
行政专员/助理,191
装配工程师/技师,29
销售助理客户关系经理/主管,1
业务拓展主管/经理销售经理,7
质量管理/测试工程师质量管理/测试主管,16
人事专员行政专员/助理,5
光源与照明工程激光/光电子技术,5
机械工程师产品工艺/制程工程师,4
资金专员资金经理/主管,1
FAE 现场应用工程师电子工程师/技术员,8
工业设计/产品设计,47
客服专员/助理销售行政助理,8
市场/营销/拓展经理市场企划专员,1
技术文员/助理,40
产品/品牌经理市场/营销/拓展经理,5
客服专员/助理前台接待/总机/接待生,1
商务助理商务主管/专员,9
集成电路IC设计/应用工程师版图设计工程师,13
普工/操作工数控操机,2
质量管理/测试工程师其他,5
电路工程师/技术员电子/电器维修工程师/技师,4
FAE 现场应用工程师电声/音响工程师/技术员,1
高级硬件工程师集成电路IC设计/应用工程师,4
硬件工程师电子工程师/技术员,18
前台接待/总机/接待生后勤,1
维修工程师工程/设备主管,1
系统工程师电子工程师/技术员,3
工程/设备工程师电气工程师/技术员,2
其他集成电路IC设计/应用工程师,1
嵌入式硬件开发集成电路IC设计/应用工程师,3
贸易/外贸专员/助理网络/在线客服,1
法务主管/专员法务助理,3
高级软件工程师技术总监/经理,2
给排水/暖通工程管道/暖通,1
产品工艺/制程工程师产品规划工程师,5
销售行政助理行政专员/助理,1
电子工程师/技术员技术研发工程师,3
网络管理技术支持/维护工程师,7
税务专员/助理财务顾问,1
高级软件工程师C/C++开发工程师,7
市场/营销/拓展专员市场企划专员,4
电声/音响工程师/技术员,14
系统工程师技术支持/维护工程师,2
工程/设备主管工程/设备经理,1
电力工程师/技术员,16
财务助理/财务文员税务专员/助理,1
售前/售后技术支持工程师技术支持/维护工程师,28
客户经理/主管,34
激光/光电子技术电子销售工程师,2
版图设计工程师电路工程师/技术员,7
采购员行政专员/助理,1
网络/在线客服,26
化工实验室研究员/技术员质检员/测试员,1
化工实验室研究员/技术员,33
产品/品牌经理市场通路经理/主管,1
电池/电源开发,41
FAE 现场应用工程师集成电路IC设计/应用工程师,15
