混合信号设计工程师/Mix signal;1
FPGA设计工程师;3
销售专员;63
销售工程师;350
行业客户经理;1
操作工;34
PIE工程师;4
照明设计师;10
创意策划师;1
销售助理;302
UPS工程师;1
前台接待;5
采购助理;101
技术支持工程师;94
SMT技术员;13
电气维修技术员;2
渠道开发主管;1
资深人工智能算法工程师;1
资深人工智能算法工程师（目标检测识别方向）;1
资深音频算法工程师;1
销售经理;238
Memory Design Engineer (Jr. or Sr.);1
橱柜/家具设计师;1
销售;36
财务;6
机械设计工程师;66
版图设计工程师;53
模拟电路设计工程师;32
电子技术员;12
资深计算视觉软件(驱动)工程师;1
硬件工程师;169
会计（总账、税务）;1
电子装配工;6
ICT工程师;3
IE工程师;22
硬件维修工程师;1
生产技术员（精密仪器，优秀应届生可考虑）;1
产品销售经理;2
模拟工程师（EEP方向）;1
外贸销售（太阳能电池片、组件）;1
Test Leader-测试项目工程师;1
Account Manager for Automotive Business;1
FAE工程师;61
PCB销售经理;1
业务助理 (五险一金) 急徵;1
IT工程师;22
应届毕业生储备干部;1
AOI技术员/工程师;1
芯片产品应用工程师（AE）;1
Senior Analog IC Design;1
电子开发工程师;3
Lora Application Software Engineer/Senior Engineer;1
现场服务工程师;3
出货质量管理工程师;1
良率提升工程师;7
现场应用工程师;18
人事行政助理;21
生产测试工程师;4
照明设计师/CAD制图;1
Art Designer;1
数字电路设计SIG组;1
检验员;12
技术开发工程师;1
物流专员 (职位编号：ICRD000344);1
包装设计工程师 (上海研发中心);1
被动器件销售工程师;1
电子工程师（电源）;2
生产线领班;1
销售经理/销售工程师/销售代表/电话销售/实习生销售;1
机械工程师;89
FT测试工程师（上海）-韦尔;1
电气设计工程师;11
TVS保护器件研发工程师（上海）-韦尔;1
TVS保护器件产品工程师（上海）-韦尔;1
销售工程师（汽车电子）;2
上位机软件开发工程师;5
客户经理;40
产品工程师;65
销售助理/商务客服专员;1
IT技术支持;9
品质保证课 课长;1
检测工程师;1
巡检驾驶员做一休二（崇明);1
C/C++软件工程师;8
车辆控制算法工程师;1
销售工程师（手机消费类电子）;2
芯片验证工程师;12
结构助理工程师;2
硬件测试工程师;54
质量经理;22
人事行政主管;17
市场拓展经理/高级市场拓展经理;1
销售经理/高级销售经理;1
仓库管理员;179
电子来料检验员;1
资深射频集成电路设计工程师(RFIC staff Designer);1
软件工程师;99
资深销售工程师;3
项目经理;72
FAE技术工程师;2
项目工程师;36
应用工程师;45
海外商务支持;1
品质主管;19
数字电路设计工程师-SIG组DSP;1
前道设备技术员;1
资深数字设计工程师;4
电气技术员;5
机械技术员;2
（应届）软件工程师;1
业务助理;47
销售专员/渠道销售;1
电子技术应用工程师;1
调试技术员;1
芯片分析工程师（地点：张江）;1
采购跟单兼行政;1
销售代表;125
现场应用工程师 FAE;1
销售代表/客户代表（带薪培训+双休）;1
磨床工;5
业务主管;5
业务员;15
采购;52
人事行政助理（专员）;1
电气主管;1
模具钳工;5
数字电路设计工程师(PCS+PCI);1
Sourcing Supervisor 采购主管;1
公共关系专员;1
主办会计;5
报关员;4
波峰焊设备工程师;1
客服;1
售后文员/跟单;1
文员 应届毕业生;1
扩散设备工程师;2
应用工程师（实习生）;1
资深嵌入式软件工程师(单片机）;1
数据库专员;1
TD TCAD研发资深/主任级工程师 (职位编号：hlmc000571);1
Quality Engineer/Sr.;1
TD WET/CMP研发资深/主任级工程师 (职位编号：hlmc000570);1
TD TF薄膜研发资深/主任级工程师 (职位编号：hlmc000569);1
TD DIFF/IMP研发资深工程师/主任级工程师 (职位编号：hlmc000566);1
自动化设备研发总监;1
嵌入式软件工程师(单片机）;1
NPI工程师;13
PCB设计工程师;7
高级结构工程师;10
Camera图像工程师;1
高级光学应用工程师;1
ATE工程师;1
质量工程师;114
Sharepoint Support Engineer;1
制程整合工程师（Fab) (职位编号：fab);1
RA工程师（可靠性测试/老化测试）;1
集成电路设计CAD设计;2
销售工程师S;1
售后客服;10
高级控制软件设计工程师;1
市场助理;26
QE工程师;8
嵌入式软件工程师;178
应收应付会计;5
嵌入式软件开发工程师;18
生产计划专员;13
CNC操作工;5
工艺工程师;93
家电维修;1
软件实施工程师;9
结构工程师;85
工程师;4
电器维修工;1
销售工程师（上海）;14
信息化项目咨询师;1
OA资讯工程师;1
golang开发工程师;2
应届毕业生;12
电子研发资深工程师（电机控制器）;1
上海区域销售经理;3
新能源销售/新能源汽车方向;1
嵌入式硬件工程师;26
办公室出纳;1
工艺技术助理;3
